"TTID","ID","Site","UnitID","StartingAddress","Size","CombinedHex","DecodedValue"
600,"Row Locked","192.168.12.73",6,50792,1,"'0000",0
601,"Device Type","192.168.12.73",7,0,8,"'00",""
601,"Last Reported","192.168.12.73",7,8,4,"'0000000000000000","0"
601,"Model Number","192.168.12.73",7,12,8,"'00",""
601,"HW Rev","192.168.12.73",7,20,8,"'4E6F6E65000000000000000000000000","None"
601,"FW Rev","192.168.12.73",7,28,8,"'00",""
601,"Uptime","192.168.12.73",7,36,2,"'00000000",0
601,"SNAP Addr","192.168.12.73",7,38,2,"'00","0x00"
601,"RSSI","192.168.12.73",7,40,1,"'0000",0
601,"Has WX Sensor","192.168.12.73",7,41,1,"'0000",0
601,"Has Tracker HW","192.168.12.73",7,42,1,"'0000",0
601,"Location Text","192.168.12.73",7,43,16,"'00",""
601,"Latitude","192.168.12.73",7,59,2,"'00000000",0
601,"Longitude","192.168.12.73",7,61,2,"'00000000",0
601,"Config Flags","192.168.12.73",7,63,2,"'00000000",0
601,"Battery Voltage","192.168.12.73",7,65,2,"'00000000",0
601,"Battery Current","192.168.12.73",7,67,2,"'00000000",0
601,"Battery Charged","192.168.12.73",7,69,1,"'0000",0
601,"Battery Health","192.168.12.73",7,70,1,"'0000",0
601,"Charger Voltage","192.168.12.73",7,71,2,"'00000000",0
601,"Charger Current","192.168.12.73",7,73,2,"'00000000",0
601,"Solar Voltage","192.168.12.73",7,75,2,"'00000000",0
601,"Solar Current","192.168.12.73",7,77,2,"'00000000",0
601,"Controller Status","192.168.12.73",7,79,2,"'00000000",0
601,"Tracking Status","192.168.12.73",7,81,1,"'0000",0
601,"Current Angle","192.168.12.73",7,82,2,"'00000000",0
601,"Requested Angle","192.168.12.73",7,84,2,"'00000000",0
601,"Motor Power (Prev Hr)","192.168.12.73",7,86,2,"'00000000",0
601,"Angular Error (Prev Hr)","192.168.12.73",7,88,2,"'00000000",0
601,"Wind Speed","192.168.12.73",7,90,2,"'00000000",0
601,"Wind Direction","192.168.12.73",7,92,2,"'00000000",0
601,"Avg Wind Speed","192.168.12.73",7,94,2,"'00000000",0
601,"Peak Wind Speed","192.168.12.73",7,96,2,"'00000000",0
601,"Snow Temp","192.168.12.73",7,98,2,"'00000000",0
601,"Snow Distance","192.168.12.73",7,100,2,"'00000000",0
601,"Snow Depth","192.168.12.73",7,102,2,"'00000000",0
601,"Row Locked","192.168.12.73",7,104,1,"'0000",0
